state,date,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,hash,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
AK,20200516,388.0,32030.0,,8.0,,,,,,343.0,B,5/14/2020 00:00,3dcc2f3fb7e7135dda29669b3b3e2e4309758ff3,2020-05-16T20:00:00Z,10.0,,32418,32418,32418,2,0.0,0.0,0.0,0.0,0.0
AL,20200516,11216.0,134847.0,,,1377.0,,497.0,,293.0,,B,5/15/2020 00:00,732f7db7023a837ea5602fdc722dcf24fa2a25aa,2020-05-16T20:00:00Z,476.0,1377.0,146063,146063,146063,1,0.0,0.0,0.0,0.0,0.0
AR,20200516,4463.0,77066.0,,65.0,520.0,,,9.0,101.0,3390.0,A,5/15/2020 16:20,f8283b03c50173a253b26318ca1352322e8e9e69,2020-05-16T20:00:00Z,98.0,520.0,81529,81529,81529,5,0.0,0.0,0.0,0.0,0.0
AZ,20200516,13169.0,128832.0,,808.0,1629.0,313.0,,222.0,,3145.0,A+,5/15/2020 00:00,b68b6c57c821231935e153d2b53d21cb324b485f,2020-05-16T20:00:00Z,651.0,1629.0,142001,142001,142001,4,0.0,0.0,0.0,0.0,0.0
CA,20200516,74936.0,1058970.0,,4519.0,,1324.0,,,,,B,5/14/2020 00:00,d11837146ce1f4e74c6cda6de690a501388eebb3,2020-05-16T20:00:00Z,3108.0,,1133906,1133906,1133906,6,0.0,0.0,0.0,0.0,0.0
CO,20200516,20838.0,97192.0,,685.0,3789.0,,,,,3217.0,A,5/14/2020 00:00,ecdf5763ba85c30e4832c5a4e761ff6b7843abe7,2020-05-16T20:00:00Z,1091.0,3789.0,118030,118030,118030,8,0.0,0.0,0.0,0.0,0.0
CT,20200516,36085.0,119823.0,,1033.0,10946.0,,,,,6264.0,B,5/14/2020 20:30,9d3da074d629b0e85d966ddf292e6f3eca3e637e,2020-05-16T20:00:00Z,3285.0,10946.0,155908,155908,155908,9,0.0,0.0,0.0,0.0,0.0
DC,20200516,6871.0,27468.0,,393.0,,,,90.0,,975.0,A,5/14/2020 00:00,d811443b807acc513863c25546591426da42560d,2020-05-16T20:00:00Z,368.0,,34339,34339,34339,11,0.0,0.0,0.0,0.0,0.0
DE,20200516,7373.0,30905.0,,269.0,,,,,,3210.0,B,5/14/2020 18:00,5b4a642744796e1bdbbf3187868a804afe348a54,2020-05-16T20:00:00Z,271.0,,38278,38278,38278,10,0.0,0.0,0.0,0.0,0.0
FL,20200516,43210.0,565627.0,1228.0,472.0,7993.0,232.0,,,,,A+,5/14/2020 12:33,2bbd297e7556d97c2dee52376da93a50d1b3cd55,2020-05-16T20:00:00Z,1991.0,7993.0,610065,608837,608837,12,0.0,0.0,0.0,0.0,0.0
GA,20200516,36681.0,265193.0,,,6438.0,,1534.0,,,,A+,5/15/2020 13:00,1b266e32635c7b7b69784322b27a2686e956a4c1,2020-05-16T20:00:00Z,1557.0,6438.0,301874,301874,301874,13,0.0,0.0,0.0,0.0,0.0
HI,20200516,637.0,38139.0,,,81.0,,,,,564.0,B,5/14/2020 18:00,5221b8ff9eaa71f781a91611d6f178ce66981527,2020-05-16T20:00:00Z,17.0,81.0,38776,38776,38776,15,0.0,0.0,0.0,0.0,0.0
IA,20200516,14049.0,79517.0,,387.0,,130.0,,87.0,,6561.0,A+,5/14/2020 00:00,33190afb9a6cb38b33c9d8f7da3619c367e49a6f,2020-05-16T20:00:00Z,336.0,,93566,93566,93566,19,0.0,0.0,0.0,0.0,0.0
ID,20200516,2351.0,32394.0,,,212.0,,89.0,,,1573.0,B,5/14/2020 19:00,9d78d1ed02c31ba757e9456b84ba7778f43133fe,2020-05-16T20:00:00Z,72.0,212.0,34745,34745,34745,16,0.0,0.0,0.0,0.0,0.0
IL,20200516,90369.0,448233.0,,4367.0,,1129.0,,675.0,,,A,5/15/2020 00:00,5030f4f1578711995407b84177f1efa3ae788dbc,2020-05-16T20:00:00Z,4058.0,,538602,538602,538602,17,0.0,0.0,0.0,0.0,0.0
IN,20200516,26655.0,138793.0,,1294.0,4389.0,492.0,990.0,213.0,,,A+,5/14/2020 23:59,1600b23f8acd87251ed75ec510da99dc552ebc07,2020-05-16T20:00:00Z,1691.0,4389.0,165448,165448,165448,18,0.0,0.0,0.0,0.0,0.0
KS,20200516,7886.0,53706.0,,,724.0,,246.0,,112.0,443.0,A,5/15/2020 10:00,a7e73dc4deed8f9c44f040b62b95d223eb7b911c,2020-05-16T20:00:00Z,172.0,724.0,61592,61592,61592,20,0.0,0.0,0.0,0.0,0.0
KY,20200516,7225.0,114053.0,,385.0,1887.0,220.0,794.0,,,2712.0,A+,5/14/2020 17:00,a57f2439973b7f52c0f2530cf713747291ff8ffa,2020-05-16T20:00:00Z,328.0,1887.0,121278,121278,121278,21,0.0,0.0,0.0,0.0,0.0
LA,20200516,33837.0,219352.0,,1091.0,,,,132.0,,22608.0,B,5/15/2020 13:00,b5120f51c7c9ca3edb55bb4a0441eab2f821ec87,2020-05-16T20:00:00Z,2448.0,,253189,253189,253189,22,0.0,0.0,0.0,0.0,0.0
MA,20200516,83421.0,352258.0,,2767.0,8314.0,749.0,,,,,A+,5/14/2020 10:00,d01c47b31a879982dcbd2a21ba1fcb5f6f279f0a,2020-05-16T20:00:00Z,5592.0,8314.0,435679,435679,435679,25,0.0,0.0,0.0,0.0,0.0
MD,20200516,36986.0,145840.0,,1496.0,6679.0,598.0,,,,2685.0,,5/15/2020 10:00,b63ead80de526104789e9af5043ac3dcaa744117,2020-05-16T20:00:00Z,1911.0,6679.0,182826,182826,182826,24,0.0,0.0,0.0,0.0,0.0
ME,20200516,1603.0,22092.0,,35.0,211.0,16.0,,8.0,,993.0,B,5/15/2020 12:00,7189cadb17ae1d9b7a8e7d5c10d82c5ba34890e5,2020-05-16T20:00:00Z,69.0,211.0,23695,23695,23695,23,0.0,0.0,0.0,0.0,0.0
MI,20200516,50079.0,307417.0,,1256.0,,532.0,,440.0,,22686.0,A+,5/14/2020 11:00,483eb8c9906284dea3db8d5ac357af1a28dcb051,2020-05-16T20:00:00Z,4825.0,,357496,357496,357496,26,0.0,0.0,0.0,0.0,0.0
MN,20200516,14240.0,120429.0,,498.0,1985.0,200.0,679.0,,,8820.0,A+,5/14/2020 17:00,a8da5e0e7220e8b11b9ab9294060f3e9c02da02b,2020-05-16T20:00:00Z,692.0,1985.0,134669,134669,134669,27,0.0,0.0,0.0,0.0,0.0
MO,20200516,10456.0,124002.0,,812.0,,,,120.0,,,B,5/15/2020 15:00,1ff18095918dc14944f63604e60e85fa72078b96,2020-05-16T20:00:00Z,576.0,,134458,134458,134458,29,0.0,0.0,0.0,0.0,0.0
MS,20200516,10801.0,96022.0,,573.0,1712.0,172.0,,81.0,,6268.0,A,5/14/2020 19:00,26aaec58357fb157c1ea145325d06fa42ee9ce2c,2020-05-16T20:00:00Z,493.0,1712.0,106823,106823,106823,28,0.0,0.0,0.0,0.0,0.0
MT,20200516,466.0,24952.0,,3.0,63.0,,,,,431.0,B,5/15/2020 00:00,375e38d9d99b09de0f1c1f4f2842e25747c5988e,2020-05-16T20:00:00Z,16.0,63.0,25418,25418,25418,30,0.0,0.0,0.0,0.0,0.0
