state,jurisdiction,cdc_total_cases,cdc_total_death,cdc_total_tests,ctp_total_tests_for_analysis,ctp_total_cases,ctp_total_death
AK,Alaska,388,10,46589.0,31762.0,392.0,10.0
AL,Alabama,11642,484,168687.0,141985.0,11523.0,485.0
AR,Arkansas,4463,98,84496.0,75818.0,4578.0,98.0
AZ,Arizona,13169,651,210388.0,134338.0,13631.0,679.0
CA,California,74936,3108,924696.0,1104651.0,76793.0,3204.0
CO,Colorado,21131,1150,173626.0,112505.0,21232.0,1150.0
CT,Connecticut,36085,3285,151175.0,149562.0,36703.0,3339.0
DC,District of Columbia,6871,368,32999.0,32999.0,7042.0,375.0
DE,Delaware,7373,271,34793.0,36857.0,7547.0,286.0
FL,Florida,42940,1917,919109.0,691653.0,44811.0,2040.0
GA,Georgia,36680,1557,282988.0,285881.0,37147.0,1592.0
HI,Hawaii,587,17,41561.0,38881.0,638.0,17.0
IA,Iowa,14049,336,93959.0,89294.0,14328.0,346.0
ID,Idaho,2389,73,24627.0,33556.0,2389.0,73.0
IL,Illinois,90369,4058,470698.0,512037.0,92457.0,4129.0
IN,Indiana,26655,1691,253619.0,160239.0,27280.0,1741.0
KS,Kansas,7886,172,60337.0,57544.0,7886.0,172.0
KY,Kentucky,7444,332,87753.0,117395.0,7444.0,332.0
LA,Louisiana,33903,2448,288133.0,247588.0,34117.0,2479.0
MA,Massachusetts,83421,5592,574645.0,410032.0,84933.0,5705.0
MD,Maryland,37968,1957,232086.0,178454.0,37968.0,1957.0
ME,Maine,1648,70,33038.0,33035.0,1648.0,70.0
MI,Michigan,50079,4825,361485.0,345403.0,50504.0,4880.0
MN,Minnesota,14240,692,139893.0,128752.0,14969.0,709.0
MO,Missouri,10456,576,137274.0,126935.0,10675.0,589.0
MS,Mississippi,11123,511,105326.0,105326.0,11123.0,510.0
MT,Montana,466,16,18701.0,24549.0,468.0,16.0
NC,North Carolina,17129,641,151449.0,219268.0,17982.0,652.0
ND,North Dakota,1761,42,45251.0,50311.0,1848.0,42.0
NE,Nebraska,9772,119,56879.0,53427.0,9772.0,119.0
NH,New Hampshire,3464,159,19450.0,37739.0,3464.0,159.0
NJ,New Jersey,143905,10138,409320.0,451696.0,145089.0,10249.0
NM,New Mexico,5662,253,142431.0,115011.0,5662.0,253.0
NV,Nevada,6629,354,74579.0,82993.0,6662.0,345.0
NY,New York,343304,27755,1298757.0,1298757.0,348232.0,22478.0
OH,Ohio,26954,1581,237120.0,231795.0,27474.0,1610.0
OK,Oklahoma,4971,288,118751.0,112647.0,5237.0,288.0
OR,Oregon,3541,137,84053.0,86679.0,3612.0,137.0
PA,Pennsylvania,60622,4342,301916.0,311195.0,61611.0,4403.0
RI,Rhode Island,12219,479,98403.0,101601.0,12434.0,489.0
SC,South Carolina,8407,380,98474.0,102535.0,8407.0,380.0
SD,South Dakota,3887,44,27465.0,26473.0,3959.0,44.0
TN,Tennessee,17052,290,398173.0,302317.0,17288.0,295.0
TX,Texas,45198,1272,454133.0,623284.0,46999.0,1305.0
UT,Utah,7012,78,175808.0,160119.0,7068.0,78.0
VA,Virginia,29683,1002,198217.0,185551.0,29683.0,1002.0
VT,Vermont,933,53,21018.0,22505.0,934.0,53.0
WA,Washington,17951,992,255104.0,261080.0,17951.0,992.0
WI,Wisconsin,11685,445,128430.0,133873.0,12187.0,453.0
WV,West Virginia,1447,64,65283.0,68713.0,1457.0,64.0
WY,Wyoming,716,7,18553.0,15417.0,716.0,7.0
