date,state,update_time,last_check,positives_total,positives_white,positives_black,positives_latinx,positives_asian,positives_aiain,positives_nhpi,positives_multiracial,positives_other,positives_race_unknown,positives_percent_race_unknown,positives_hispanic,positives_nonhispanic,positives_ethnicity_unknown,positives_percent_ethnicity_unknown,total_deaths,deaths_white,deaths_black,deaths_latinx,deaths_asian,deaths_aian,deaths_nhpi,deaths_multiracial,deaths_other,deaths_race_unknown,deaths_percent_race_unknown,deaths_hispanic,deaths_nonhispanic,deaths_ethnicity_unknown,deaths_percent_ethnicity_unknown,negatives_white,negatives_black,negatives_latinx,negatives_asian,negatives_aian,negatives_nhpi,negatives_multiracial,negatives_other,negatives_race_unknown,negatives_percent_race_unknown,negatives_hispanic,negatives_nonhispanic,negatives_ethnicity_unknown,negatives_percent_ethnicity_unknown,,,,,,,,,,,,,,,,,,,
20200610,AK,6/9/20 0:00,6/10/20 22:22,593,349,16,,57,69,16,22,12,52,9%,45,476,72,12%,11,6,0,,2,2,1,0,0,0,0%,0,11,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200610,AL,6/10/20 11:00,6/10/20 22:28,21989,7967,9221,,103,,,,1089,3609,16%,2086,14969,4932,22%,744,360,333,,5,,,,12,34,5%,18,640,86,12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200610,AR,6/10/20 15:00,6/10/20 22:36,10368,4973,2920,,93,33,561,,867,921,9%,2203,8165,921,8%,165,96,51,,1,,6,,8,,0%,8,154,3,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200610,AS,6/10/20 0:00,6/10/20 22:40,,,,,,,,,,,100%,,,,100%,,,,,,,,,,0,100%,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200610,AZ,6/10/20 0:00,6/10/20 22:48,29852,5978,913,7392,290,3694,,,845,10740,36%,7392,11720,10740,36%,1095,515,33,195,15,194,,,20,123,11%,195,777,123,11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200610,CA,6/9/20 0:00,6/10/20 23:42,136191,18064,4713,54151,8019,191,708,706,10784,38855,29%,54151,43185,38855,29%,4663,1524,451,1837,684,13,21,31,39,63,1%,1837,2763,63,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200610,CO,6/10/20 0:00,6/10/20 22:17,28499,9823,1675,10997,772,156,119,210,245,4494,16%,10997,13000,4494,16%,1573,979,106,324,55,8,5,11,8,70,4%,324,1172,70,4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200610,CT,6/9/20 20:30,6/10/20 22:54,44347,15320,5761,8082,650,,,,249,14129,32%,8082,15320,14129,38%,4120,3002,619,349,45,,,,16,61,1%,349,3002,61,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200610,DC,6/9/20 0:00,6/10/20 22:27,9537,1403,4352,,109,26,23,,2386,1238,13%,2469,5188,1880,20%,499,54,371,62,7,,,,5,0,0%,62,437,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200610,DE,6/9/20 18:00,6/10/20 23:10,10056,2903,2688,2866,155,,,,498,946,9%,2866,6244,946,9%,413,251,109,27,1,,,,4,21,5%,27,365,21,5%,24567,12372,4488,862,,,,3148,16252,26%,4488,40949,16252,26%,,,,,,,,,,,,,,,,,,,
